Entry	Entry name	Gene names	Ensembl transcript
Q96FI4	NEIL1_HUMAN	NEIL1	ENST00000355059;ENST00000564784;ENST00000569035;
Q6ZWH5	NEK10_HUMAN	NEK10	ENST00000295720 [Q6ZWH5-5];ENST00000341435 [Q6ZWH5-4];ENST00000383771 [Q6ZWH5-6];ENST00000429845 [Q6ZWH5-1];
P51957	NEK4_HUMAN	NEK4 STK2	ENST00000233027 [P51957-1];ENST00000383721 [P51957-2];ENST00000535191 [P51957-3];
Q9HC98	NEK6_HUMAN	NEK6	ENST00000320246 [Q9HC98-1];ENST00000373600 [Q9HC98-2];ENST00000373603 [Q9HC98-1];ENST00000394199 [Q9HC98-2];ENST00000539416 [Q9HC98-4];ENST00000540326 [Q9HC98-3];ENST00000545174 [Q9HC98-1];ENST00000546191 [Q9HC98-1];
Q8TDX7	NEK7_HUMAN	NEK7	ENST00000367383 [Q8TDX7-2];ENST00000367385 [Q8TDX7-1];ENST00000538004 [Q8TDX7-1];
P18615	NELFE_HUMAN	NELFE RD RDBP	ENST00000375425 [P18615-3];ENST00000375429 [P18615-1];ENST00000383174 [P18615-1];ENST00000383343 [P18615-1];ENST00000429857 [P18615-1];ENST00000444811 [P18615-4];ENST00000448628 [P18615-1];ENST00000457397 [P18615-1];
Q9Y6K9	NEMO_HUMAN	IKBKG FIP3 NEMO	ENST00000594239 [Q9Y6K9-1];ENST00000611071 [Q9Y6K9-1];ENST00000611176 [Q9Y6K9-3];ENST00000618670 [Q9Y6K9-2];
Q92979	NEP1_HUMAN	EMG1 C2F	ENST00000599672;
P08473	NEP_HUMAN	MME EPN	ENST00000360490;ENST00000460393;ENST00000462745;ENST00000492661;ENST00000493237;ENST00000615825;
O95631	NET1_HUMAN	NTN1 NTN1L	ENST00000173229;
O76050	NEUL1_HUMAN	NEURL1 NEURL NEURL1A RNF67	ENST00000369780 [O76050-1];
Q9Y697	NFS1_HUMAN	NFS1 NIFS HUSSY-08	ENST00000374085 [Q9Y697-2];ENST00000374092 [Q9Y697-1];ENST00000397425 [Q9Y697-2];ENST00000541387 [Q9Y697-3];
Q15599	NHRF2_HUMAN	SLC9A3R2 NHERF2	ENST00000424542 [Q15599-1];ENST00000432365 [Q15599-2];ENST00000566198 [Q15599-3];
Q6T4R5	NHS_HUMAN	NHS	ENST00000380060 [Q6T4R5-2];ENST00000398097 [Q6T4R5-3];
P26715	NKG2A_HUMAN	KLRC1 NKG2A	ENST00000347831 [P26715-2];ENST00000359151 [P26715-1];ENST00000408006 [P26715-2];ENST00000544822 [P26715-1];
P52952	NKX25_HUMAN	NKX2-5 CSX NKX2.5 NKX2E	ENST00000329198 [P52952-1];ENST00000424406 [P52952-3];ENST00000521848 [P52952-2];
Q9NPP4	NLRC4_HUMAN	NLRC4 CARD12 CLAN CLAN1 IPAF UNQ6189/PRO20215	ENST00000342905 [Q9NPP4-2];ENST00000360906 [Q9NPP4-1];ENST00000402280 [Q9NPP4-1];ENST00000404025 [Q9NPP4-1];
